area_sqm,bedroom,bathroom,balcony,addl_room,sector,landmark_count,has_hospital_or_clinic,has_police_stn,has_fire_stn,has_mall,has_market,has_park,has_bank_or_atm,has_institute,has_airport,has_rly_stn,has_metro_stn,has_expy,has_petrol_pump,has_hotel,has_temple_or_church,has_famous_chowk,has_club,has_stadium,has_restro_cafe,area_type,floor_rise,age,society,city,price_cr
83.61,2.0,2.0,1.0,0.0,sector 7,50.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,carpet,mid,new,maa bhagwati residency,gurgaon,0.5850000000000001
60.39,2.0,2.0,1.0,0.0,sector 3,48.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,carpet,low,old,apna enclave,gurgaon,0.65
55.28,2.0,2.0,3.0,0.0,sector 33,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,carpet,high,new,tulsiani easy in homes,sohna,0.52
111.48,2.0,2.0,2.0,1.0,sector 61,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,carpet,low,mid aged,smart world orchard,gurgaon,1.911
124.95,2.0,2.0,3.0,1.0,sector 92,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,super built up,mid,under construction,parkwood westend,gurgaon,0.9099999999999999
139.35,3.0,3.0,3.0,0.0,sector 102,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,super built up,mid,new,the cocoon,gurgaon,2.6
212.75,3.0,4.0,3.0,0.0,sector 104,13.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,carpet,high,new,ats triumph,gurgaon,2.3400000000000003
125.42,2.0,4.0,3.0,1.0,sector 88,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,built up,low,under construction,vatika xpressions,gurgaon,1.4300000000000002
261.34,3.0,3.0,2.0,1.0,sector 78,10.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,built up,high,mid aged,raheja revanta,gurgaon,6.175
99.87,2.0,2.0,2.0,0.0,sector 81,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,carpet,low,mid aged,signature global city 81,gurgaon,1.248
48.22,2.0,2.0,1.0,0.0,sector 33,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,carpet,mid,new,hcbs sports ville,sohna,0.377
180.7,3.0,3.0,3.0,0.0,sector 79,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,carpet,mid,new,supertech araville,gurgaon,1.7550000000000001
120.77,2.0,2.0,3.0,1.0,sector 90,10.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,super built up,high,new,shree vardhman flora,gurgaon,0.9099999999999999
217.67,4.0,5.0,3.0,0.0,sector 108,13.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,built up,high,under construction,sobha city,gurgaon,5.135000000000001
59.37,1.0,1.0,0.0,0.0,sector 62,43.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,built up,low,under construction,senate court,gurgaon,1.1700000000000002
85.01,2.0,2.0,2.0,0.0,sector 102,13.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,carpet,high,mid aged,shapoorji pallonji joyville gurugram,gurgaon,1.3650000000000002
195.1,3.0,3.0,3.0,1.0,sector 33,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,super built up,high,new,central park flower valley,sohna,2.8600000000000003
102.47,2.0,2.0,2.0,1.0,sector 89,14.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,carpet,mid,new,smart world gems,gurgaon,1.3130000000000002
199.74,3.0,4.0,3.0,1.0,sector 79,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,super built up,high,new,bestech altura,gurgaon,2.4050000000000002
